[000:08:39;101] KOREA'S FIERY NEW RESPONSE.
[000:08:41;103] ABC'S CHIEF WHITE HOUSE
[000:08:41;637] CORRESPONDENT JONATHAN KARL.
[000:08:45;775] >> Reporter: AFTER THREATENING
[000:08:46;409] TO ANNIHILATE THE ENTIRE NATION
[000:08:48;377] OF NORTH KOREA, PRESIDENT TRUMP
[000:08:50;313] TODAY PUT ASIDE WAR TALK IN
[000:08:53;416] FAVOR OF DIPLOMACY, ANNOUNCING A
[000:08:54;050] NEW ROUND OF ECONOMIC SANCTIONS.
[000:08:56;686] >> A NEW EXECUTIVE ORDER WILL
[000:08:59;288] CUT OFF SOURCES OF REVENUE THAT
[000:08:59;922] FUND NORTH KOREA'S EFFORTS TO
[000:09:02;425] DEVELOP THE DEADLIEST WEAPONS
[000:09:03;025] KNOWN TO HUMAN KIND.
[000:09:07;096] >> Reporter: TRUMP ALSO
[000:09:08;297] ANNOUNCED THAT CHINA IS NOW
[000:09:10;199] TAKING NEW STEPS TO ISOLATE KIM
[000:09:13;369] JONG-UN.
[000:09:14;303] >> CHINA, THEIR CENTRAL BANK,
[000:09:16;472] HAS TOLD THEIR OTHER BANKS --
[000:09:20;309] THAT'S A MASSIVE BANKING
[000:09:20;843] SYSTEM -- TO IMMEDIATELY STOP
[000:09:25;348] DOING BUSINESS WITH NORTH KOREA.
[000:09:26;849] >> Reporter: IT'S A STRIKING
[000:09:27;450] DIFFERENCE IN TONE FROM EARLIER
[000:09:29;352] THIS WEEK.
[000:09:29;986] >> THE UNITED STATES HAS GREAT
[000:09:33;389] STRENGTH AND PATIENCE, BUT IF IT
[000:09:36;225] IS FORCED TO DEFEND ITSELF OR
[000:09:36;826] ITS ALLIES, WE WILL HAVE NO
[000:09:38;828] CHOICE BUT TO TOTALLY DESTROY
[000:09:43;032] NORTH KOREA.
[000:09:43;499] >> Reporter: TODAY, I ASKED U.N.
[000:09:44;133] AMBASSADOR NIKKI HALEY ABOUT
[000:09:44;734] THAT.
[000:09:47;670] WHAT EXACTLY DID HE MEAN?
[000:09:49;238] UNDER WHAT CIRCUMSTANCES WOULD
[000:09:49;872] HE CONSIDER TOTALLY DESTROYING
[000:09:50;506] NORTH KOREA?
[000:09:51;307] >> WELL, I THINK THAT'S JUST
[000:09:51;907] COMMON SENSE.
[000:09:53;909] IF, FOR ANY REASON, NORTH KOREA
[000:09:58;581] ATTACKS THE UNITED STATES OR OUR
[000:09:59;215] ALLIES, THE U.S. WILL RESPOND.
[000:10:01;384] PERIOD.
[000:10:03;319] >> JON KARL WITH THE QUESTION
[000:10:04;287] FOR NIKKI HALEY TODAY.
[000:10:04;754] AND JON, WE HAVE A RESPONSE
[000:10:05;388] TONIGHT FROM NORTH KOREA.
[000:10:06;922] KIM JONG-UN RESPONDING?
[000:10:08;391] >> Reporter: WE DO.
[000:10:09;392] HE CALLED THE PRESIDENT MENTALLY
[000:10:10;026] DERANGED AND SAID THAT HE WILL
[000:10:13;396] MAKE HIM PAY DEARLY, THOSE WERE
[000:10:14;196] HIS WORDS, FOR HIS SPEECH AT THE
[000:10:14;830] U.N.
[000:10:16;299] AND I'VE GOT TO TELL YOU,
