[000:11:38;264] >>> MARTHA YOU AND I HAVE BOTH
[000:11:40;066] BEEN TALKING TO COLONEL STEVE
[000:11:40;866] GANYARD AND HE MAKES THE POINTER
[000:11:44;036] EVERYTHING THEY SAID THEY WOULD
[000:11:47;073] DO AND NOW THEY'RE TALKING
[000:11:48;708] ABOUT TESTING A HYDROGEN BAUM IN
[000:11:49;341] THE PACIFIC.
[000:11:51;343] DO THEY HAVE THE CAPABILITY TO
[000:11:52;078] PULL THAT OFF?
[000:11:52;411] >> Reporter: THEY HAVE ALREADY
[000:11:53;045] TESTED A HYDROGEN BOMB AND AN
[000:11:55;481] INTERCONTINENTAL BALLISTIC
[000:11:56;982] MISSILE.
[000:11:57;216] WE DON'T KNOW FOR SURE WHETHER
[000:11:59;118] THEY COULD ARM AN ICBM WITH A
[000:12:01;153] BOMB BUT THIS HAS TO BE TAKEN
[000:12:01;754] SERIOUSLY.
[000:12:03;255] THIS WOULD BE AN EXTRAORDINARILY
[000:12:06;358] ALARMING AND DANGEROUS MOVE AND
[000:12:09;462] THE ADMINISTRATION WOULD HAVE TO
[000:12:10;096] RETHINK WHAT IT IS DOING.
[000:12:13;399] >> ALL RIGHT.
[000:12:18;337] MARTHA RADDATZ TRACKING THE
[000:12:18;938] SITUATION WITH NORTH KOREA EVER
[000:12:19;605] STEP OF THE WAY.
[000:12:20;272] THANK YOU MARTHA.
[000:12:21;340] PRESIDENT TRUMP RESPONDING
[000:12:21;907] TONIGHT AFTER FACEBOOK REVEALED
[000:12:22;541] THOUSANDS OF ADS WERE BOUGHT BY
[000:12:23;943] RUSSIAN AGENTS DURING THE
[000:12:24;477] ELECTION, ADS THAT PRAISED
[000:12:25;511] DONALD TRUMP OR ATTACKED HILLARY
[000:12:26;145] CLINTON.
[000:12:26;378] MARK ZUCKERBERG SAYING HE WILL
[000:12:28;647] TURN THOSE ADS OVER TO CONGRESS.
[000:12:31;217] TODAY PRESIDENT TRUMP TWEETING
[000:12:32;785] THE RUSSIA HOAX CONTINUES, NOW
[000:12:33;419] ITS ADS ON FACEBOOK.
[000:12:40;059] >>> NEXT TO YOUR MONEY.
[000:12:40;559] TAXPAYER MONEY SPENT ON FLIGHTS
[000:12:41;193] ON PRIVATE JETS.
[000:12:42;661] ANOTHER CABINET SECRETARY UNDER
[000:12:44;196] SCRUTINY FOR HIS TRAVEL HABITS.
[000:12:45;798] HEALTH AND HUMAN SERVICES CHIEF
[000:12:47;333] TOM PRICE TAKING PRIVATE JETS
[000:12:50;970] DOZENS OF TIMES FROM D.C. TO
[000:12:51;570] PHILADELPHIA.
[000:12:54;607] CECELIA VEGA WITH THE PRICE TAG.
[000:12:56;675] HOW MUCH YOU HAVE SPENT ALREADY.
[000:12:58;778] >> Reporter: TONIGHT HEALTH
[000:12:59;345] SECRETARY TOM PRICE UNDER
[000:13:01;380] INVESTIGATION FOR DOZENS OF
[000:13:03;015] OFFICIAL GOVERNMENT TRIPS ON
[000:13:04;083] LUXURY PRIVATE PLANES.
[000:13:06;552] >> THE AMERICAN PEOPLE NEED TO
[000:13:07;186] KNOW THAT THEIR TAX DOLLARS ARE
[000:13:07;820] BEING SPENT WISELY.
[000:13:10;222] >> Reporter: AS A CONGRESSMAN,
[000:13:11;824] PRICE ONCE TWEETED "CONGRESS
[000:13:12;424] DOESN'T NEED TO HAVE PRIVATE
[000:13:13;025] JETS."
[000:13:16;095] BUT NOW ACCORDING TO POLITICO,
[000:13:18;030] HIS PENCHANT FOR PRIVATE PLANES
[000:13:19;064] HAS COST TAXPAYERS MORE THAN
[000:13:20;099] $300,000.
[000:13:22;735] LAST WEEK ALONE, ON A LUXURY JET
[000:13:24;770] LIKE THIS, HE TOOK FIVE FLIGHTS.
[000:13:27;907] ONE OF THEM, A SHORT 30 MINUTE
[000:13:28;974] ROUND TRIP TO PHILADELPHIA.
[000:13:33;412] THE COST, $10,000.
[000:13:34;647] COMPARED TO ABOUT $700 FOR A
[000:13:35;247] COMMERCIAL FLIGHT.
[000:13:37;249] >> IT'S JUST NOT RIGHT, IT'S
[000:13:37;850] JUST NOT RIGHT.
[000:13:39;852] >> Reporter: TODAY IN A SCATHING
[000:13:42;988] LETTER, THE TOP DEMOCRAT ON THE
[000:13:43;622] HOUSE OVERSIGHT COMMITTEE TELLS
[000:13:44;256] PRICE, "THE AMOUNT OF TAXPAYER
[000:13:46;625] FUNDS YOU SPENT ON JUST ONE
[000:13:48;727] SINGLE FLIGHT IS MORE THAN SOME
[000:13:50;262] OF MY CONSTITUENTS MAKE IN A
[000:13:51;947] ."AR
[000:13:55;467] >> I JUST SAY TO THE SECRETARY,
[000:13:56;101] MR. SECRETARY YOU CAN DO BETTER
[000:13:58;103] AND YOU NEED TO SET THE EXAMPLE
[000:13:58;737] FOR THE ENTIRE ADMINISTRATION.
[000:14:02;741] >> Reporter: AT LEAST THREE
[000:14:03;309] TRUMP CABINET SECRETARIES NOW
[000:14:05;377] UNDER INVESTIGATION FOR
[000:14:06;545] EXPENSIVE TRAVEL ON THE PUBLIC
[000:14:07;179] DIME.
[000:14:08;981] TONIGHT, ABC NEWS HAS LEARNED
[000:14:10;015] THAT AFTER ONE MEETING WITH THE
[000:14:11;584] PRESIDENT AT TRUMP TOWER,
