[000:12:35;154] OUT OF A JOB SOON.
[000:12:35;855] >> I WAS STUNNED, I
[000:12:36;589] COULDN'T BELIEVE --
[000:12:38;624] I'M A SINGLE MOM, I
[000:12:39;358] HAVE CHILDREN, AND
[000:12:40;159] IT'S NOT JUST
[000:12:41;727] AFFECTING THOSE THAT
[000:12:42;495] JUST GET UP AND GO TO
[000:12:43;262] WORK.
[000:12:43;829] >> Reporter: THE CITY
[000:12:44;864] SAID UBER IS NOT FIT
[000:12:45;631] AND PROPER TO HOLD A
[000:12:47;466] LICENSE, CITING THE
[000:12:50;569] COMPANY'S APPROACH TO
[000:12:52;671] REPORTING CRIMINAL
[000:12:53;706] OFFENSES, INCLUDING
[000:12:54;740] ALLEGATIONS OF RAPE,
[000:12:55;508] WHILE RAISING CONCERNS
[000:12:56;275] ABOUT DRIVER
[000:12:56;909] BACKGROUND CHECKS.
[000:12:57;610] >> IT'S ANTI-SAFETY
[000:12:58;344] AND SECURITY, AND WHAT
[000:12:59;411] IT SHOULD HAVE BEEN
[000:13:00;146] DOING IS ABIDING BY
[000:13:00;980] THE RULES AND PLAYING
[000:13:01;747] BY THE RULES THEY
[000:13:02;548] HAVEN'T BEEN.
[000:13:05;651] >> UBER DENIES THE
[000:13:08;788] ALLEGATIONS VOWING TO
[000:13:13;993] FIGHT BACK.
[000:13:16;061] >> LONDON IS UBER'S
[000:13:16;796] LARGEST EUROPEAN
[000:13:17;496] MARKET.
[000:13:18;030] UNTIL YESTERDAY, IT'S
[000:13:18;798] MOST NOTABLE SUCCESS
[000:13:19;565] STORY OUTSIDE THE U.S.
[000:13:20;332] >> THE COMPANY'S
[000:13:21;033] ARRIVAL HERE WAS
[000:13:21;767] BITTERLY OPPOSED BY
[000:13:22;802] DRIVER'S OF LONDON'S
[000:13:23;869] ICONIC BLACK CABS.
[000:13:24;570] THEY SAY UBER IS
[000:13:27;506] UNDERREGULATED AND
[000:13:28;240] WILL PUT THEM OUT OF
[000:13:29;008] BUSINESS.
[000:13:29;575] >> UBER'S TROUBLES RUN
[000:13:30;342] DEEP.
