[000:07:08;528] THE TORNADO COMING TOWARD HIS
[000:07:09;595] HOUSE, TOWARD HIS FAMILY.
[000:07:11;197] TODAY WE WENT TO MEET THEM.
[000:07:13;332] HE TOOK ME DOWN THE STAIRWELL
[000:07:14;934] THAT SAVED HIS FAMILY'S LIFE.
[000:07:19;172] IT IS THE VOICE YOU HEAR AS THAT
[000:07:20;273] TORNADO IS ABOUT TO TOUCH DOWN
[000:07:21;340] AND TAKE DIRECT AIM AT HIS HOME
[000:07:22;375] AND HIS FAMILY.
[000:07:28;181] [ SIRENS ]
[000:07:28;714] HIS WIFE AND FOUR CHILDREN
[000:07:29;415] WAITING IN THE STORM SHELTER,
[000:07:30;149] THEIR BUNKER.
[000:07:30;883] AND TODAY WE WENT TO FIND THEM.
[000:07:31;951] THERE WAS JASON IN HIS FRONT
[000:07:32;652] YARD.
[000:07:34;587] NO HOME LEFT, BUT HE HAS HIS
[000:07:36;222] FAMILY AND HE SHOWED US WHY.
[000:07:38;291] TAKING US DOWN INTO HIS CONCRETE
[000:07:39;859] STORM SHELTER WHERE THEY WERE
[000:07:40;626] HUDDLED.
[000:07:41;994] >> YOU COULD SEE THE PRESSURE OF
[000:07:43;629] THE TORNADO AGAINST THE METAL?
[000:07:47;567] >> YEAH, THE METAL WAS POPPING
[000:07:49;469] IN AND OUT.
[000:07:50;002] >> Reporter: THAT METAL DOOR
[000:07:50;736] BUCKLING UNDER THE PRESSURE OF
[000:07:51;471] THE TORNADO.
[000:07:51;971] YOU HAVE LANTERNS?
[000:07:53;973] >> WE HAVE LAN TERNS AND ANOTHER
[000:07:55;875] INTERESTING THING, LAPTOPS WHILE
[000:07:57;376] WE WERE IN HERE.
[000:08:02;281] HE TOLD ME THE CHILDREN QUIETLY
[000:08:03;082] CRYING, THE FAMILY MOUTHING
[000:08:03;850] THEIR WORDS TO EACH OTHER,
[000:08:04;584] BECAUSE OF THE PRESSURE ON THEIR
[000:08:05;384] EARS, THEY COULDN'T HEAR A
[000:08:06;085] THING.
[000:08:06;552] >> I CAN REACH OUT AND TOUCH
[000:08:07;286] BOTH WALLS WITH MY FINGERS.
[000:08:07;987] NOT A HUGE SPACE.
[000:08:12;158] SUDDENLY SILENCE.
[000:08:13;526] IT WAS OVER.
[000:08:14;093] HE SHOWS US HOW HE OPENED THAT
[000:08:15;528] DOOR AND THIS IS WHAT HE SAW
[000:08:17;530] WHEN HE WALKED OUT.
[000:08:18;898] >> I WANT YOU TO STAY.
[000:08:23;803] >> OKAY.
[000:08:25;004] >> THE LORD GIVETH, AND THE LORD
[000:08:26;772] TAKETH AWAY.
[000:08:27;507] >> Reporter: REALLY
[000:08:28;140] EXTRAORDINARY.
[000:08:29;108] THEY SAY IT WENT COMPLETELY
[000:08:30;676] SILENT IN THAT BUNKER WHEN THE
[000:08:31;744] TORNADO STOPPED DOING ITS
[000:08:32;445] DAMAGE.
[000:08:34;413] WE MET HIS WIFE TODAY, GIANT
[000:08:35;515] SMILE ON HER FACE, EVEN THOUGH
[000:08:37;083] SHE HAS NO HOME LEFT, SHE HAS
[000:08:37;850] HER FAMILY.
[000:08:40;753] AND SHE FOUND THE BABY ALBUMS
[000:08:42;288] WHILE WE WERE THERE, ALL BECAUSE
[000:08:43;923] THE FAMILY WAS SAFE INSIDE THAT
[000:08:46;225] BUNKER, I COULD REACH OUT AND
[000:08:47;393] TOUCH EACH SIDE.
[000:08:47;960] >> ALL RIGHT, DAVID MUIR
[000:08:48;628] REPORTING.
[000:08:49;128] THANK YOU SO MUCH.
[000:08:49;929] I HAVE ANOTHER BEHIND THE
[000:08:51;531] PICTURE IMAGE TONIGHT.
[000:08:53;132] IN FACT, YOU SHOWED US THE
[000:08:54;233] ICONIC SCENE, THE MOTHER AND
[000:08:55;234] FATHER WALKING.
[000:08:56;302] SHE'S BLOODIED.
[000:08:58;938] THEY'RE WALKING AWAY FROM BRIAR
[000:09:00;540] ELEMENTARY SCHOOL WHICH TOOK A
[000:09:01;274] DIRECT HIT.
[000:09:06;345] THEY ARE THE COBB FAMILY, LA
[000:09:07;079] DONNA AND STEVE.
[000:09:07;947] SHE HAS A BADLY BRUISED EYE AND
[000:09:09;015] FACE, BUT SHE'LL BE FINE.
[000:09:10;082] EARLIER I SPOKE TO THEM ABOUT
[000:09:10;816] WHAT THEY DID.
[000:09:11;684] >> I JUST TRIED TO BE THE BEST
[000:09:12;785] DAD I COULD AT THAT TIME.
[000:09:15;421] I WANTED HER TO FEEL SAFE AND
[000:09:17;023] THAT WE WERE GOING TO BE OKAY.
[000:09:19;959] I WISHED I COULD HAVE SPLIT
[000:09:21;761] MYSELF INTO TWO AND STAYED THERE
[000:09:23;296] AND TRIED TO HELP OUT SOME OF
[000:09:25;932] THOSE OTHER KIDS, BECAUSE I CAN
[000:09:27;166] IMAGINE HOW THEY WERE FEELING AT
[000:09:29;468] THAT TIME.
[000:09:29;969] YOU KNOW, WHEN THEIR PARENTS
[000:09:30;703] WEREN'T THERE, KIND OF WANDERING
[000:09:31;504] AROUND.
[000:09:35;708] IT'S LIKE BEING IN A MOVIE, AND
[000:09:37;276] IT'S LIKE EVERYBODY'S PLAYING A
[000:09:38;277] PART.
[000:09:39;912] WE'RE ALL ACTING OR SOMETHING
[000:09:40;646] LIKE THAT.
[000:09:41;447] IT'S JUST NOT -- DOESN'T SEEM
[000:09:43;082] REAL TO YOU THAT THIS IS
[000:09:43;749] OCCURRING.
[000:09:47;320] >> AND JORDAN, HOW LONG DID THAT
[000:09:48;888] TORNADO SEEM TO LAST FOR YOU?
[000:09:50;489] >> FOREVER.
[000:09:51;557] IT SEEMED LIKE IT WAS LIKE AN
[000:09:52;291] HOUR.
[000:09:54;226] LIKE, IT WAS CRAZY.
[000:09:55;828] I MEAN, I CAN'T EVEN BELIEVE WE
[000:09:56;896] SURVIVED THAT.
[000:09:59;031] >> I WAS JUST GRABBING ON TO
[000:09:59;765] WHATEVER I COULD.
[000:10:01;667] ONCE THE ROOF LIFTED OFF OF THE
[000:10:04;370] BUILDING, I FELT MYSELF BEING
[000:10:08;608] SUCKED, AND I KNEW THAT IF I WAS
[000:10:11;811] TAKEN, THEN ALL THE LITTLE
[000:10:13;412] BABIES UNDERNEATH ME WOULD BE
[000:10:14;113] GONE TOO.
[000:10:16;048] SO I JUST HELD ON.
[000:10:18;184] I HELD ON FOR DEAR LIFE UNTIL
[000:10:20;820] THE WALL FELL ON TOP OF ME AND
[000:10:21;854] KNOCKED ME OUT.
[000:10:27;727] >> I COULDN'T BELIEVE THE OTHER
[000:10:30;763] -- I COULDN'T LEAVE THE OTHER
[000:10:32;064] KIDS.
[000:10:32;498] THEY ALL ARE SPECIAL TO ME.
[000:10:33;199] AND I COULDN'T LEAVE THEM.
[000:10:34;600] AND I WANTED MY FAMILY TO BE
[000:10:35;668] SAFE, BUT I ALSO WANTED
[000:10:36;736] EVERYBODY ELSE'S FAMILY TO BE
[000:10:37;470] SAFE TOO.
[000:10:40;973] >> WHAT WAS THE HARDEST MOMENT
[000:10:42;575] FOR YOU, JORDAN?
[000:10:47;880] >> JUST WHEN I WAS LIKE, I TRIED
[000:10:49;515] TO GET UP AND I TRIED TO MOVE
[000:10:51;651] THE BRICKS OFF OF MY LEG, AND IT
[000:10:53;753] HURT SO MUCH, AND I WAS LIKE --
[000:10:55;888] AND IT WAS DURING -- THE TORNADO
[000:10:57;456] HAD NOT LEFT YET.
[000:10:59;125] I WAS JUST SCREAMING, HELP,
