[000:11:32;992] THE INJURED AND MISSING ARE ALL
[000:11:35;194] SOMEONE'S FAMILY, SOMEONE'S
[000:11:36;228] FRIEND, A FAMILIAR FACE.
[000:11:39;432] WEST, TEXAS, IS THE HEARTLAND OF
[000:11:41;033] AMERICA, HOME TO JUST 2,800
[000:11:43;169] PEOPLE -- AND THE ANNUAL
[000:11:44;804] BARBECUE COOK-OFF BY VOLUNTEER
[000:11:45;838] FIREFIGHTERS.
[000:11:49;942] MANY OF THOSE SAME FIREFIGHTERS
[000:11:52;445] RUNNING INTO YESTERDAY'S BLAZE,
[000:11:54;313] AS OTHERS RAN OUT.
[000:11:55;648] SO MANY STILL UNACCOUNTED FOR.
[000:11:56;515] THEIR STATION FLAGS TODAY --
[000:11:57;550] AT HALF STAFF.
[000:11:59;185] >> HOW MANY PEOPLE DO YOU THINK
[000:12:00;786] YOU KNOW WHO WERE HURT IN THAT?
[000:12:04;523] >> I PROBABLY KNOW ALL OF THEM.
[000:12:06;592] >> Reporter: TODAY THE STREETS
[000:12:07;660] OF WEST, TEXAS, ARE BATTERED AND
[000:12:08;728] BRUISED.
[000:12:10;329] SO ARE ITS RESIDENTS.
[000:12:11;897] >> THIS IS FROM THE BLAST?
[000:12:12;965] >> YES.
[000:12:14;033] >> Reporter: THE BLAST SO
[000:12:15;668] STRONG, IT KNOCKED DOWN ELDIN
[000:12:17;203] PAVELKA RIGHT OUT OF HIS CHAIR
[000:12:21;507] -- HIS WINDOWS BLOWN OUT.
[000:12:25;211] HIS METAL GARAGE DOOR, TWISTED.
[000:12:26;979] BUT HE CALLS HIMSELF ONE OF THE
[000:12:27;880] LUCKY ONES.
[000:12:28;414] >> WHAT E YOU FEELING TOY?ANKF
[000:12:29;982] STILL HERE.E LRE
[000:12:32;051] >> Reporter: MR. PAVELKA LIVES
[000:12:33;119] RIGHT UP THE ROAD, NOT TOO FAR .
[000:12:36;322] BUT THIS IS THE SCENE IN MUCH OF
[000:12:37;923] WEST, TEXAS, BUILDINGS, HOMES,
[000:12:39;525] THAT ARE BOARDED UP, HOMES WITH
[000:12:41;093] MAJOR DAMAGE LIKE THIS ONE.
[000:12:42;161] SOME OF THEM DEMOLISHED.
[000:12:44;263] THE BLAST SITE, HALF A MILE AWAY
[000:12:45;331] FROM HERE.
[000:12:46;932] JUST SHOWS YOU HOW STRONG THAT
[000:12:48;000] BLAST WAS.
[000:12:50;102] >> IT WAS THAT POWERFUL AND A
